Date,Open,High,Low,Close,Adj Close,Volume
2017-07-24,972.219971,986.200012,920.000000,941.530029,941.530029,15057000
2017-07-31,941.890015,943.590027,916.679993,927.960022,927.960022,7357000
2017-08-07,929.059998,935.814026,905.580017,914.390015,914.390015,6316700
2017-08-14,922.530029,932.700012,907.153992,910.669983,910.669983,5574500
2017-08-21,910.000000,930.840027,903.400024,915.890015,915.890015,5524000
2017-08-28,916.000000,942.479980,905.000000,937.340027,937.340027,6103300
2017-09-04,933.080017,937.000000,919.270020,926.500000,926.500000,5078300
2017-09-11,934.250000,938.380005,916.359985,920.289978,920.289978,7407000
2017-09-18,920.010010,936.530029,910.599976,928.530029,928.530029,6256700
2017-09-25,925.450012,959.786011,909.700012,959.109985,959.109985,8364400
2017-10-02,959.979980,979.460022,947.840027,978.890015,978.890015,5511800
2017-10-09,980.000000,997.210022,966.080017,989.679993,989.679993,5985300
2017-10-16,992.099976,996.719971,978.390015,988.200012,988.200012,5755100
2017-10-23,989.520020,1048.390015,960.520020,1019.270020,1019.270020,11104700
2017-10-27,1009.190002,1048.390015,1008.200012,1019.270020,1019.270020,5167689
