\f0\fs24 \cf0 Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-\
60,60,2011/3/4,26-064,MIA,@,SAS,L (-30),1,36:08:00,11,19,0.579,1,3,0.333,3,7,0.429,3,5,8,7,1,0,4,2,26,20.2,-16\
61,61,2011/3/6,26-066,MIA,,CHI,L (-1),1,41:50:00,10,18,0.556,1,2,0.5,5,6,0.833,3,5,8,6,2,0,2,2,26,24,-4\
62,62,2011/3/8,26-068,MIA,,POR,L (-9),1,45:32:00,14,20,0.7,2,4,0.5,1,4,0.25,1,10,11,8,1,0,4,3,31,26.5,-2\
63,63,2011/3/10,26-070,MIA,,LAL,W (+6),1,42:16:00,7,17,0.412,0,3,0,5,7,0.714,1,7,8,9,1,0,1,1,19,17.8,+8\
64,64,2011/3/12,26-072,MIA,,MEM,W (+33),1,31:55:00,10,16,0.625,2,4,0.5,5,6,0.833,1,4,5,5,1,2,3,1,27,23.8,+17\
65,65,2011/3/14,26-074,MIA,,SAS,W (+30),1,41:31:00,8,19,0.421,0,1,0,5,5,1,0,6,6,8,0,2,2,3,21,16.5,+22\
66,66,2011/3/16,26-076,MIA,,OKC,L (-11),1,39:30:00,8,21,0.381,0,3,0,3,3,1,0,8,8,3,1,1,1,0,19,12.7,-6\
67,67,2011/3/18,26-078,MIA,@,ATL,W (+21),1,30:54:00,16,21,0.762,5,7,0.714,6,7,0.857,0,2,2,3,0,0,4,2,43,32.2,+23\
68,68,2011/3/19,26-079,MIA,,DEN,W (+5),1,40:40:00,15,25,0.6,1,4,0.25,2,2,1,0,6,6,2,2,0,5,3,33,20.5,+16\
69,69,2011/3/23,26-083,MIA,@,DET,W (+6),1,42:05:00,8,16,0.5,0,3,0,3,4,0.75,3,5,8,7,0,0,3,3,19,14.9,+6\
70,70,2011/3/25,26-085,MIA,,PHI,W (+12),1,41:01:00,11,17,0.647,1,4,0.25,9,9,1,2,8,10,2,3,1,4,3,32,28.2,+17\
71,71,2011/3/27,26-087,MIA,,HOU,W (+6),1,40:27:00,13,21,0.619,0,1,0,7,9,0.778,1,9,10,7,0,0,2,1,33,28.6,+5\
72,72,2011/3/29,26-089,MIA,@,CLE,L (-12),1,43:17:00,10,21,0.476,1,5,0.2,6,10,0.6,0,10,10,12,0,0,3,3,27,21.9,-9\
73,73,2011/3/30,26-090,MIA,@,WAS,W (+16),1,43:49:00,12,16,0.75,1,3,0.333,10,13,0.769,1,7,8,8,5,0,5,3,35,34.6,+20\
74,74,2011/4/1,26-092,MIA,@,MIN,W (+19),1,42:53:00,11,20,0.55,0,1,0,5,7,0.714,2,4,6,10,3,1,3,2,27,26.1,+15\
75,75,2011/4/3,26-094,MIA,@,NJN,W (+14),1,38:55:00,13,18,0.722,0,2,0,5,8,0.625,2,9,11,7,3,0,7,2,31,26.6,+13\
76,76,2011/4/6,26-097,MIA,,MIL,L (-5),1,39:25:00,10,22,0.455,3,7,0.429,6,8,0.75,1,1,2,8,2,2,4,2,29,22,-10\
77,77,2011/4/8,26-099,MIA,,CHA,W (+9),1,37:23:00,9,16,0.563,0,1,0,5,6,0.833,1,6,7,9,2,1,1,2,23,24.7,+12\
78,78,2011/4/10,26-101,MIA,,BOS,W (+23),1,37:11:00,11,19,0.579,0,2,0,5,9,0.556,0,5,5,7,4,1,4,1,27,23.2,+24\
79,79,2011/4/11,26-102,MIA,@,ATL,W (+8),1,42:39:00,10,21,0.476,2,4,0.5,12,14,0.857,1,9,10,7,3,0,7,1,34,26.4,+7}
